,Store Name,Address,Type,Rating,Reviews,URL
71,Fricassé Siala,,"Restaurant
Ouvert ⋅ Ferme à 23:00","4,5",17,https://www.google.com/maps/place/Fricass%C3%A9+Siala/data=!4m7!3m6!1s0x1301d32f0dbf137b:0xef5dbfdc72ac5009!8m2!3d34.7479431!4d10.7470152!16s%2Fg%2F11c0t8ycnc!19sChIJexO_DS_TARMRCVCscty_Xe8?authuser=0&hl=fr&rclk=1
72,Sandwich Isam,"PQW6+9RP immeuble galaxy, Av. 5 août",Restauration rapide,"4,6",5,https://www.google.com/maps/place/Sandwich+Isam/data=!4m7!3m6!1s0x1301d34d3b0eef91:0x66d0af2c0ad31fcc!8m2!3d34.7459546!4d10.7620903!16s%2Fg%2F11j7bh93th!19sChIJke8OO03TARMRzB_TCiyv0GY?authuser=0&hl=fr&rclk=1
73,restaurant le pêcheur,"PPJQ+J3C, Rte de la Soukra",Restaurant,"3,9",22,https://www.google.com/maps/place/restaurant+le+p%C3%AAcheur/data=!4m7!3m6!1s0x13002df396e3f521:0x320a6b369d05d7e5!8m2!3d34.7315506!4d10.7376319!16s%2Fg%2F11h24vv8pg!19sChIJIfXjlvMtABMR5dcFnTZrCjI?authuser=0&hl=fr&rclk=1
74,Restaurant Chouaïb Le Pecheur,PQP6+7RR,Restaurant,"3,6",70,https://www.google.com/maps/place/Restaurant+Choua%C3%AFb+Le+Pecheur/data=!4m7!3m6!1s0x13002d2cc22d71a5:0xdbcee51c884acd2b!8m2!3d34.7357263!4d10.7620011!16s%2Fg%2F11c2ldq73_!19sChIJpXEtwiwtABMRK81KiBzlzts?authuser=0&hl=fr&rclk=1
75,Turk Shawarma,,Turque,"4,3",3,https://www.google.com/maps/place/Turk+Shawarma/data=!4m7!3m6!1s0x1301d33d6eb47d19:0x9301f38386303744!8m2!3d34.7412821!4d10.7572112!16s%2Fg%2F11s33qtgc4!19sChIJGX20bj3TARMRRDcwhoPzAZM?authuser=0&hl=fr&rclk=1
76,كسكروت الصداقة عند وحيد,4 Rue Mahmoud krichen,Restaurant,"4,8",9,https://www.google.com/maps/place/%D9%83%D8%B3%D9%83%D8%B1%D9%88%D8%AA+%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9+%D8%B9%D9%86%D8%AF+%D9%88%D8%AD%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x13002cd6f0a7335d:0x5cee39870759d9f7!8m2!3d34.7307119!4d10.7516476!16s%2Fg%2F11f3s2n4x8!19sChIJXTOn8NYsABMR99lZB4c57lw?authuser=0&hl=fr&rclk=1
77,Paparazzi food,"QQ26+PJF, Rte de Tunis",Pizza,"4,1",22,https://www.google.com/maps/place/Paparazzi+food/data=!4m7!3m6!1s0x1301d3399f6f1fb3:0xe39b561a384217e5!8m2!3d34.7518001!4d10.7615599!16s%2Fg%2F11kpy798tq!19sChIJsx9vnznTARMR5RdCOBpWm-M?authuser=0&hl=fr&rclk=1
78,Farm Slice Sfax Aljadida,Rue Ahmed Aloulou,Pizza,"4,0",115,https://www.google.com/maps/place/Farm+Slice+Sfax+Aljadida/data=!4m7!3m6!1s0x13002dd93d547c0d:0x3f5dfa541731ed74!8m2!3d34.7365302!4d10.7524224!16s%2Fg%2F11pf849ycf!19sChIJDXxUPdktABMRdO0xF1T6XT8?authuser=0&hl=fr&rclk=1
79,Restaurant ABID,"PQW7+34G, Av. 5 août",Restaurant,"3,3",49,https://www.google.com/maps/place/Restaurant+ABID/data=!4m7!3m6!1s0x1301d2d1031f417f:0x61a69b9c4d9fbbf1!8m2!3d34.7451899!4d10.7628176!16s%2Fg%2F11c2pbp4zl!19sChIJf0EfA9HSARMR8bufTZybpmE?authuser=0&hl=fr&rclk=1
80,Le Lido,"PQH7+RW2, Rue Patrice Lumumba",Bar,"4,0",24,https://www.google.com/maps/place/Le+Lido/data=!4m7!3m6!1s0x13002d2e37f85b0b:0x11d9b5b21d405192!8m2!3d34.729519!4d10.7647713!16s%2Fg%2F11b66j5z2c!19sChIJC1v4Ny4tABMRklFAHbK12RE?authuser=0&hl=fr&rclk=1
81,Restaurant Casablanca,PQP3+Q6M,Restaurant,"4,3",24,https://www.google.com/maps/place/Restaurant+Casablanca/data=!4m7!3m6!1s0x13002cd53c3e797f:0x2f1189fcb423ac96!8m2!3d34.7369587!4d10.7530391!16s%2Fg%2F11c5x79z7v!19sChIJf3k-PNUsABMRlqwjtPyJES8?authuser=0&hl=fr&rclk=1
82,Mister Food,"PQW6+4XQ, Av. 5 août",Restaurant,"3,9",14,https://www.google.com/maps/place/Mister+Food/data=!4m7!3m6!1s0x1301d2d11d128655:0x2bef0bbe57dac75b!8m2!3d34.7453372!4d10.7624812!16s%2Fg%2F11csqw1mdd!19sChIJVYYSHdHSARMRW8faV74L7ys?authuser=0&hl=fr&rclk=1
83,BigBites,"QP5V+5FH, Rte Gremda",Pizza,"4,5",11,https://www.google.com/maps/place/BigBites/data=!4m7!3m6!1s0x1301d36b9973825d:0x9ca1d84d22f21929!8m2!3d34.7579294!4d10.7437465!16s%2Fg%2F11kk2kb5l2!19sChIJXYJzmWvTARMRKRnyIk3YoZw?authuser=0&hl=fr&rclk=1
84,Nahj Saiyaghine,3047,Restaurant,"5,0",2,https://www.google.com/maps/place/Nahj+Saiyaghine/data=!4m7!3m6!1s0x13002d2b5a2a48bf:0x4c870a81bc8d07da!8m2!3d34.7366459!4d10.7601406!16s%2Fg%2F11cn9h9y1x!19sChIJv0gqWistABMR2geNvIEKh0w?authuser=0&hl=fr&rclk=1
85,Restaurant Baghdad,"63, 3000, 63 Bd. Farhat Hached",Plats familiaux,"3,7",69,https://www.google.com/maps/place/Restaurant+Baghdad/data=!4m7!3m6!1s0x13002d2c724f0a37:0xe0c8387a14a26b20!8m2!3d34.7333247!4d10.7609273!16s%2Fg%2F11f544tfy7!19sChIJNwpPciwtABMRIGuiFHo4yOA?authuser=0&hl=fr&rclk=1
86,La focaccia Sfax,"QQ54+982, Ctre",Pizza,"3,5",33,https://www.google.com/maps/place/La+focaccia+Sfax/data=!4m7!3m6!1s0x1301d2df92c804fb:0x3463962e3349ba61!8m2!3d34.758399!4d10.7557676!16s%2Fg%2F11fzc_p63_!19sChIJ-wTIkt_SARMRYbpJMy6WYzQ?authuser=0&hl=fr&rclk=1
87,Restaurant Neptune,"Imm Ghorbel 3099, Av. habib bouguatfa",Restaurant,"3,2",23,https://www.google.com/maps/place/Restaurant+Neptune/data=!4m7!3m6!1s0x1301d35e93596695:0x61c4be5681052d5d!8m2!3d34.7494781!4d10.7667465!16s%2Fg%2F11h4tcq483!19sChIJlWZZk17TARMRXS0FgVa-xGE?authuser=0&hl=fr&rclk=1
88,Spenk's Food,"QP8M+V7M, Rue Cheikh Mahmoud Krichen",Restaurant,"4,3",3,https://www.google.com/maps/place/Spenk%27s+Food/data=!4m7!3m6!1s0x1301d3135842d769:0xf7a9e8cc98272bc4!8m2!3d34.76722!4d10.7331666!16s%2Fg%2F11f4_3vfr5!19sChIJaddCWBPTARMRxCsnmMzoqfc?authuser=0&hl=fr&rclk=1
89,Restaurant Abouda 5,"Nasria Palace, Bd Majida Boulila",Restaurant,"3,4",10,https://www.google.com/maps/place/Restaurant+Abouda+5/data=!4m7!3m6!1s0x1301d32a0b90ae85:0x4c8b7be01c7e8a32!8m2!3d34.7406758!4d10.755854!16s%2Fg%2F11cm0ny7yp!19sChIJha6QCyrTARMRMop-HOB7i0w?authuser=0&hl=fr&rclk=1
90,Le raffiné,Rte Gremda,Restaurant,"3,0",51,https://www.google.com/maps/place/Le+raffin%C3%A9/data=!4m7!3m6!1s0x1301d3b52320e093:0x660ba1dcb9445915!8m2!3d34.7678046!4d10.7389899!16s%2Fg%2F11j134_djs!19sChIJk-AgI7XTARMRFVlEudyhC2Y?authuser=0&hl=fr&rclk=1
91,crunchup,"rond-point, Ceinture Bourguiba",Restaurant,"3,7",12,https://www.google.com/maps/place/crunchup/data=!4m7!3m6!1s0x1301d3ae61c5f0cb:0xdb52c3474cc00142!8m2!3d34.7659375!4d10.7447755!16s%2Fg%2F11vdqykbwl!19sChIJy_DFYa7TARMRQgHATEfDUts?authuser=0&hl=fr&rclk=1
92,Jwajem hachicha bosten جواجم الحشيشة,Rue de la Paie Sfax,Restaurant,"4,4",39,https://www.google.com/maps/place/Jwajem+hachicha+bosten+%D8%AC%D9%88%D8%A7%D8%AC%D9%85+%D8%A7%D9%84%D8%AD%D8%B4%D9%8A%D8%B4%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1301d3101e5a6081:0xb49fa4d896107819!8m2!3d34.7543565!4d10.7658877!16s%2Fg%2F11h53mctl_!19sChIJgWBaHhDTARMRGXgQltikn7Q?authuser=0&hl=fr&rclk=1
93,Linea Verda,"Linea Verda, Route Lafrane, km 0 5",Café,"4,6",12,https://www.google.com/maps/place/Linea+Verda/data=!4m7!3m6!1s0x1301d34d099df295:0x569b6a9a1c824798!8m2!3d34.7430365!4d10.7537413!16s%2Fg%2F11c5846tk1!19sChIJlfKdCU3TARMRmEeCHJpqm1Y?authuser=0&hl=fr&rclk=1
94,FORNO A LEGNE SFAX,"PQV4+G8Q, Unnamed Road",Torréfacteur,"3,8",13,https://www.google.com/maps/place/FORNO+A+LEGNE+SFAX/data=!4m7!3m6!1s0x1301d2d60e60a571:0x49ad4e3060adb954!8m2!3d34.7438461!4d10.7558616!16s%2Fg%2F11ggs7qqfg!19sChIJcaVgDtbSARMRVLmtYDBOrUk?authuser=0&hl=fr&rclk=1
95,Xpress Food,PPWR+GPJ,Restaurant,"3,9",19,https://www.google.com/maps/place/Xpress+Food/data=!4m7!3m6!1s0x1301d331bbc1ec81:0x4b079ab9c318c207!8m2!3d34.7463438!4d10.7417812!16s%2Fg%2F11c5stwb_8!19sChIJgezBuzHTARMRB8IYw7maB0s?authuser=0&hl=fr&rclk=1
96,Dar Bellaaj,"PQP6+785, Unnamed Road",Restaurant,"4,5",58,https://www.google.com/maps/place/Dar+Bellaaj/data=!4m7!3m6!1s0x13002d2c9b8a5765:0x44faffac92a2d9cc!8m2!3d34.7356482!4d10.7608604!16s%2Fg%2F11gh2dp3g5!19sChIJZVeKmywtABMRzNmikqz_-kQ?authuser=0&hl=fr&rclk=1
97,Resto med ali abid,"PQP6+29G, Rue de La Grande Mosquee",Restaurant,"4,3",11,https://www.google.com/maps/place/Resto+med+ali+abid/data=!4m7!3m6!1s0x13002d2c844f341d:0x4257707661a0be55!8m2!3d34.7350689!4d10.7609423!16s%2Fg%2F11dxqkmw1g!19sChIJHTRPhCwtABMRVb6gYXZwV0I?authuser=0&hl=fr&rclk=1
98,Café Kemour,3047,Café,"4,0",123,https://www.google.com/maps/place/Caf%C3%A9+Kemour/data=!4m7!3m6!1s0x13002d2ca0453a07:0x996b498a467b2483!8m2!3d34.7361874!4d10.7606912!16s%2Fg%2F1q69m1h4f!19sChIJBzpFoCwtABMRgyR7RopJa5k?authuser=0&hl=fr&rclk=1
